Image,Mask,Mask_ID,Question,Answer
M3D_RefSeg_npy/images/cardiac_refseg_023_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_023_train_13.npy,13,Identify and segment the left circumflex artery (LCX).,The left circumflex artery (LCX) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_024_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_024_train_12.npy,12,Please segment the second diagonal branch (D2).,The second diagonal branch (D2) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_025_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_025_train_19.npy,19,Delineate the left posterolateral branch (LPLB) in this cardiac CT.,The left posterolateral branch (LPLB) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_026_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_026_train_18.npy,18,Please segment the ramus intermedius (RAMUS).,The ramus intermedius (RAMUS) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_027_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_027_train_1.npy,1,Please delineate the left atrium (LA) in this cardiac CT.,The left atrium (LA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_028_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_028_train_2.npy,2,Identify and segment the left ventricle (LV).,The left ventricle (LV) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_029_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_029_train_10.npy,10,"Segment the left anterior descending artery (LAD), the widow-maker.",The left anterior descending artery (LAD) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_030_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_030_train_3.npy,3,Please segment the right atrium (RA) in this scan.,The right atrium (RA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_031_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_031_train_8.npy,8,Identify and segment the right coronary artery (RCA).,The right coronary artery (RCA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_032_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_032_train_9.npy,9,Please segment the right posterior descending artery (RPDA).,The right posterior descending artery (RPDA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_033_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_033_train_16.npy,16,Segment the left posterior descending artery (LPDA).,The left posterior descending artery (LPDA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_034_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_034_train_15.npy,15,Please delineate the second obtuse marginal branch (OM2).,The second obtuse marginal branch (OM2) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_035_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_035_train_7.npy,7,Segment the descending aorta (DO) in this CT.,The descending aorta (DO) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_036_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_036_train_0.npy,0,Segment the myocardium of the left ventricle (Myo).,The myocardium of LV (Myo) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_037_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_037_train_6.npy,6,Please identify the pulmonary artery (PA) and generate its mask.,The pulmonary artery (PA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_038_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_038_train_17.npy,17,Identify the right posterolateral branch (RPLB) and segment it.,The right posterolateral branch (RPLB) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_039_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_039_train_5.npy,5,Segment the ascending aorta (AO).,The ascending aorta (AO) is segmented. [SEG]
